DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2004,18757,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2005,18957,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2006,20980,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2007,21371,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2008,21915,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2009,17767,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2010,19833,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2011,20345,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2012,19499,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2013,19356,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2014,20746,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2015,20814,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2016,21361,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2017,22256,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2018,21996,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2019,21736,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2020,20498,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2021,21980,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2022,22167,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,AT,2023,20205,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2014,1313,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2015,1285,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2016,1142,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2017,1116,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2018,1179,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2019,1275,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2020,1030,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2021,1181,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2022,1250,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BA,2023,1262,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2004,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2005,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2006,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2007,9258,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2008,8927,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2009,6374,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2010,7476,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2011,7593,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2013,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2014,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2015,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2016,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2017,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2018,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2019,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2020,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2021,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2022,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BE,2023,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2006,5396,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2007,5241,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2008,4693,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2009,3145,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2010,3064,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2011,3291,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2012,2907,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2013,3246,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2014,3439,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2015,3650,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2016,3434,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2017,3931,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2018,3824,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2019,3902,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2020,4503,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2021,4657,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2022,5239,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,BG,2023,4555,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2008,12265,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2009,10565,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2010,11074,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2011,11526,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2012,11061,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2013,11812,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2014,12313,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2015,12431,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2016,12447,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2017,11653,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2018,11776,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2019,11666,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2020,11063,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2021,12023,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2022,12135,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CH,2023,11540,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2004,15092,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2005,14866,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2006,15779,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2007,16304,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2008,15437,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2009,12791,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2010,13770,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2011,14316,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2012,14267,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2013,13965,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2014,14575,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2015,15261,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2016,15619,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2017,15843,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2018,16564,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2019,16180,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2020,15251,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2021,16326,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2022,16368,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,CZ,2023,15038,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2004,86409,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2005,95420,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2006,107007,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2007,114615,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2008,115969,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2009,95652,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2010,107317,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2011,113160,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2012,110065,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2013,110655,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2014,112629,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2015,114341,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2016,135875,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2017,126897,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2018,127620,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2019,128545,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2020,109219,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2021,123935,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2022,128637,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DE,2023,125364,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2004,2321,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2005,1976,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2006,1892,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2007,1779,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2008,1866,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2009,1700,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2010,2239,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2011,2614,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2012,2278,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2013,2449,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2014,2453,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2015,2603,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2016,2616,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2017,2653,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2018,2594,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2019,2525,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2020,2450,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2021,1986,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2022,2211,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,DK,2023,1906,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2004,10488,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2005,10639,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2006,10418,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2007,8430,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2008,5943,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2009,5947,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2010,6638,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2011,6271,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2012,5129,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2013,4722,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2014,3256,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2015,3117,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2016,2340,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2017,2325,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2018,2588,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2019,2155,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2020,1729,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2021,2124,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2022,1286,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EE,2023,771,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2004,592,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2005,613,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2006,662,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2007,835,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2008,786,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2009,552,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2010,614,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2011,352,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2012,283,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2013,237,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2014,311,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2015,294,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2016,254,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2017,358,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2018,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2019,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2020,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2021,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2022,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EL,2023,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2004,12436,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2005,11585,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2006,11541,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2007,11237,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2008,10959,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2009,7806,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2010,8913,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2011,9451,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2012,9458,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2013,9338,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2014,10385,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2015,11028,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2016,10550,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2017,10549,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2018,10650,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2019,10710,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2020,8920,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2021,10299,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2022,10566,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,ES,2023,9972,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EU27_2007,2006,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EU27_2007,2007,448414,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EU27_2007,2008,439756,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EU27_2007,2009,360718,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EU27_2007,2010,390911,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EU27_2007,2011,419502,
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EU27_2007,2013,,c
ESTAT:RAIL_GO_TOTAL(1.0),04/09/24 23:00:00,A,MIO_TKM,EU27_2007,2014,,c
