DATAFLOW,LAST UPDATE,freq,unit,accident,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2009,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2016,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2017,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2018,34,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2019,34,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2020,16,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2021,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,AT,2022,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2006,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2010,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2012,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2013,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2014,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2017,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2019,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2020,3,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2021,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BE,2022,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2006,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2007,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2008,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2009,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2015,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2016,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2017,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2019,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2020,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2021,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,BG,2022,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2009,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2010,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2011,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2015,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2017,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2019,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2020,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2021,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CH,2022,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2011,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2013,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2017,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2019,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2020,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2021,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CHUNNEL,2022,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2015,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2016,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2017,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2019,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2020,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2021,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,CZ,2022,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2010,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2011,3,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2012,4,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2013,4,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2014,9,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2015,6,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2016,9,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2017,10,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2018,5,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2019,8,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2020,6,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2021,7,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DE,2022,8,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2007,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2008,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2010,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2011,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2012,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2014,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2015,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2016,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2017,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2019,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2020,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2021,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,DK,2022,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2017,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2019,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2020,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2021,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EE,2022,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2009,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2017,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2019,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2020,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2021,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EL,2022,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2006,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2007,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2010,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2011,4,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2012,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2013,3,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2017,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2018,3,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2019,6,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2020,7,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2021,3,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,ES,2022,4,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2011,26,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2012,23,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2013,19,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2014,35,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2015,16,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2016,22,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2017,27,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2018,55,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2019,56,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2020,53,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2021,42,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,EU27_2020,2022,46,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2007,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2009,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2012,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2013,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2014,4,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2015,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2017,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2018,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2019,3,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2020,3,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2021,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FI,2022,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2009,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2011,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2012,3,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2013,4,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2014,4,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2015,2,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2016,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2017,6,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2018,5,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2019,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2020,14,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2021,19,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,FR,2022,26,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2017,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2018,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2019,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2020,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2021,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HR,2022,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2010,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2011,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2012,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2013,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2014,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2015,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2016,0,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2017,1,
ESTAT:TRAN_SF_RAILDG(1.0),13/02/24 23:00:00,A,NR,DGD,HU,2018,2,
