Entity,Code,Year,PLF
World,OWID_WRL,1950,60.8695652
World,OWID_WRL,1951,63.6363636
World,OWID_WRL,1952,62.5
World,OWID_WRL,1953,62.66666669999999
World,OWID_WRL,1954,60.4651163
World,OWID_WRL,1955,61.6161616
World,OWID_WRL,1956,62.2807018
World,OWID_WRL,1957,61.6541353
World,OWID_WRL,1958,58.2191781
World,OWID_WRL,1959,60.493827200000005
World,OWID_WRL,1960,59.23913039999999
World,OWID_WRL,1961,55.1886792
World,OWID_WRL,1962,53.4979424
World,OWID_WRL,1963,53.649634999999996
World,OWID_WRL,1964,55.8823529
World,OWID_WRL,1965,55.932203400000006
World,OWID_WRL,1966,57.682619599999995
World,OWID_WRL,1967,56.993737
World,OWID_WRL,1968,53.451376399999994
World,OWID_WRL,1969,51.9871165
World,OWID_WRL,1970,54.823735299999996
World,OWID_WRL,1971,54.0589889
World,OWID_WRL,1972,57.1061803
World,OWID_WRL,1973,57.634213700000004
World,OWID_WRL,1974,59.2692581
World,OWID_WRL,1975,59.14808969999999
World,OWID_WRL,1976,60.1475018
World,OWID_WRL,1977,60.7832068
World,OWID_WRL,1978,64.5233134
World,OWID_WRL,1979,65.96838699999999
World,OWID_WRL,1980,63.1780326
World,OWID_WRL,1981,63.708576900000004
World,OWID_WRL,1982,63.6444736
World,OWID_WRL,1983,64.2392262
World,OWID_WRL,1984,64.8064996
World,OWID_WRL,1985,65.7056787
World,OWID_WRL,1986,64.9767533
World,OWID_WRL,1987,67.1360303
World,OWID_WRL,1988,67.5661049
World,OWID_WRL,1989,68.0088848
World,OWID_WRL,1990,67.6312212
World,OWID_WRL,1991,66.3940271
World,OWID_WRL,1992,65.8293589
World,OWID_WRL,1993,64.6915074
World,OWID_WRL,1994,66.257791
World,OWID_WRL,1995,66.93903209999999
World,OWID_WRL,1996,68.2337039
World,OWID_WRL,1997,69.02036
World,OWID_WRL,1998,68.4810923
World,OWID_WRL,1999,69.0682024
World,OWID_WRL,2000,71.0701581
World,OWID_WRL,2001,69.2407769
World,OWID_WRL,2002,71.3362113
World,OWID_WRL,2003,71.57678469999999
World,OWID_WRL,2004,73.391155
World,OWID_WRL,2005,74.9427571
World,OWID_WRL,2006,75.8150692
World,OWID_WRL,2007,76.8047272
World,OWID_WRL,2008,76.0138426
World,OWID_WRL,2009,76.6817019
World,OWID_WRL,2010,78.17018639999999
World,OWID_WRL,2011,78.0066119
World,OWID_WRL,2012,78.8622465
World,OWID_WRL,2013,79.4820537
World,OWID_WRL,2014,79.7185022
World,OWID_WRL,2015,80.2386545
World,OWID_WRL,2016,80.285518
World,OWID_WRL,2017,81.4775397
World,OWID_WRL,2018,81.60348760000001
World,OWID_WRL,2019,82.3832715
World,OWID_WRL,2020,65.2404788
World,OWID_WRL,2021,67.6752312