Entity,Code,Year,International aviation CO2 (Mt)
Afghanistan,AFG,2018,131007.20873610172
Algeria,DZA,2018,820382.5094020389
Angola,AGO,2018,395954.8133677473
Argentina,ARG,2018,2647538.5530872354
Australia,AUS,2018,12348113.442458438
Austria,AUT,2018,2210663.541986074
Azerbaijan,AZE,2018,395792.0462789166
Bahrain,BHR,2018,757984.964384599
Bangladesh,BGD,2018,1116860.5016917323
Belarus,BLR,2018,255781.4124994884
Belgium,BEL,2018,2701516.499233805
Bolivia,BOL,2018,248719.64311980814
Brazil,BRA,2018,5828973.368253788
Brunei,BRN,2018,169969.46674093074
Bulgaria,BGR,2018,662658.0753951367
Cambodia,KHM,2018,575073.3595022567
Canada,CAN,2018,10919048.81611537
Chile,CHL,2018,1829790.745162536
China,CHN,2018,30373750.428981397
Colombia,COL,2018,1841880.7817947557
Costa Rica,CRI,2018,651672.5574769982
Croatia,HRV,2018,534122.952791235
Cuba,CUB,2018,1223916.3719055913
Czechia,CZE,2018,1156744.3627737528
Democratic Republic of Congo,COD,2018,119914.3953764908
Denmark,DNK,2018,2375488.658586172
Ecuador,ECU,2018,533690.719729802
Egypt,EGY,2018,2426872.1097492957
El Salvador,SLV,2018,423281.47630507365
Ethiopia,ETH,2018,1716394.1178200739
European Union,,2018,74884330.861
Fiji,FJI,2018,340906.40039548493
Finland,FIN,2018,1813463.398899918
France,FRA,2018,14618015.12808719
Georgia,GEO,2018,383504.19241673907
Germany,DEU,2018,20643697.503523365
Greece,GRC,2018,3100702.2556917407
Hungary,HUN,2018,877989.1915680409
Iceland,ISL,2018,1181387.0675382935
India,IND,2018,8592358.421284774
Indonesia,IDN,2018,4685253.58086009
Iran,IRN,2018,1045178.9530958735
Iraq,IRQ,2018,549743.506662634
Ireland,IRL,2018,2766714.0651160106
Israel,ISR,2018,2653318.049430062
Italy,ITA,2018,9639673.420723706
Japan,JPN,2018,14015830.358932473
Jordan,JOR,2018,725508.2314181097
Kazakhstan,KAZ,2018,675651.2242881277
Kenya,KEN,2018,1157660.496729269
Kuwait,KWT,2018,1347323.0349366383
Kyrgyzstan,KGZ,2018,216308.6615700529
Latvia,LVA,2018,383176.93862527097
Lebanon,LBN,2018,737030.7799252837
Libya,LBY,2018,74027.1665523779
Luxembourg,LUX,2018,216426.66959108066
Madagascar,MDG,2018,145450.0436927984
Malaysia,MYS,2018,5323938.175072262
Malta,MLT,2018,435329.6094210703
Mauritius,MUS,2018,759969.2887317878
Mexico,MEX,2018,6138106.631411802
Moldova,MDA,2018,172372.85907723595
Mongolia,MNG,2018,94500.38915057023
Morocco,MAR,2018,1989036.6221495573
Myanmar,MMR,2018,339436.4564093873
Namibia,NAM,2018,192555.01342317095
Nepal,NPL,2018,438779.7450134031
Netherlands,NLD,2018,7972946.840045093
New Zealand,NZL,2018,3036841.3651842526
Nigeria,NGA,2018,806153.7620529629
Norway,NOR,2018,1590885.7555059362
Oman,OMN,2018,1397738.7862005408
Pakistan,PAK,2018,1620360.6078204408
Panama,PAN,2018,1866828.2833855732
Papua New Guinea,PNG,2018,88881.71332124673
Peru,PER,2018,1771602.6558949521
Philippines,PHL,2018,3885164.916049132
Poland,POL,2018,2440447.664000427
Portugal,PRT,2018,3974926.2506867554
Qatar,QAT,2018,6879038.791486573
Rest of the World,,2018,17341377.831657667
Romania,ROU,2018,1183520.4400474688
Russia,RUS,2018,7052598.676674901
Rwanda,RWA,2018,151909.24780097153
Saudi Arabia,SAU,2018,5707926.295648176
Serbia,SRB,2018,319841.5166708408
Singapore,SGP,2018,10024887.615849378
South Africa,ZAF,2018,3457740.4764977144
South Korea,KOR,2018,10755213.670041516
Spain,ESP,2018,15645636.001350407
Sri Lanka,LKA,2018,1242445.6532087768
Suriname,SUR,2018,94331.15406737119
Sweden,SWE,2018,2291242.097388836
Switzerland,CHE,2018,4376263.995903976
Tajikistan,TJK,2018,190535.6893547115
Thailand,THA,2018,10486668.990976535
Trinidad and Tobago,TTO,2018,189592.15220669608
Tunisia,TUN,2018,679645.6814601248
Turkey,TUR,2018,8434561.125920495
Turkmenistan,TKM,2018,144343.89783251612
Ukraine,UKR,2018,1381235.5971403765
United Arab Emirates,ARE,2018,21141121.15669937
United Kingdom,GBR,2018,28339716.93021548
United States,USA,2018,55802906.080382995
Uzbekistan,UZB,2018,493197.0571391614
Venezuela,VEN,2018,313659.0584765394
Vietnam,VNM,2018,3205695.3374887984
World,OWID_WRL,2018,443643512.25185823