Entity,Code,Year,Per capita international RPKs
Afghanistan,AFG,2018,39.67953503405788
Algeria,DZA,2018,184.61713540089966
Angola,AGO,2018,124.48867820982149
Argentina,ARG,2018,711.4803360560296
Australia,AUS,2018,5791.800868256136
Austria,AUT,2018,2748.910398628076
Azerbaijan,AZE,2018,406.6347051654474
Bahrain,BHR,2018,5094.748596385151
Bangladesh,BGD,2018,85.6067226420963
Belarus,BLR,2018,219.38998223518448
Belgium,BEL,2018,2858.7301738653314
Bolivia,BOL,2018,238.69526355090304
Brazil,BRA,2018,336.04744838872665
Brunei,BRN,2018,4933.936883117948
Bulgaria,BGR,2018,1181.4123358407676
Cambodia,KHM,2018,420.3862637973168
Canada,CAN,2018,3642.018487023901
Chile,CHL,2018,1221.5728886823738
China,CHN,2018,261.69154770221155
Colombia,COL,2018,449.7444326980153
Costa Rica,CRI,2018,1543.540426366346
Croatia,HRV,2018,1442.8931215017542
Cuba,CUB,2018,1301.5201137617162
Czechia,CZE,2018,1255.2302929222094
Democratic Republic of Congo,COD,2018,15.534365590438687
Denmark,DNK,2018,4767.02110225785
Ecuador,ECU,2018,367.8905497403856
Egypt,EGY,2018,281.67799394745776
El Salvador,SLV,2018,797.680182918799
Ethiopia,ETH,2018,181.7129995069216
Fiji,FJI,2018,4709.010718684939
Finland,FIN,2018,4453.9214464973675
France,FRA,2018,2703.7811361777553
Georgia,GEO,2018,1057.7273678401702
Germany,DEU,2018,2825.168903169478
Greece,GRC,2018,3902.6492561671744
Hungary,HUN,2018,1148.7308860223047
Iceland,ISL,2018,44709.00275265337
India,IND,2018,80.31660207474634
Indonesia,IDN,2018,209.24594758343258
Iran,IRN,2018,129.15982142586182
Iraq,IRQ,2018,138.875718876565
Ireland,IRL,2018,6840.7378872602085
Israel,ISR,2018,4025.5853938386244
Italy,ITA,2018,1877.6654992518381
Japan,JPN,2018,1350.774512925729
Jordan,JOR,2018,820.4290023602412
Kazakhstan,KAZ,2018,384.64666955716115
Kenya,KEN,2018,231.93944524192383
Kuwait,KWT,2018,3392.7762952803682
Kyrgyzstan,KGZ,2018,440.7143634129126
Latvia,LVA,2018,2230.568904402956
Lebanon,LBN,2018,1124.8534936092726
Libya,LBY,2018,100.68943441952393
Luxembourg,LUX,2018,3410.28277318808
Madagascar,MDG,2018,58.49777044516797
Malaysia,MYS,2018,2158.7632898667807
Malta,MLT,2018,12876.632396380419
Mauritius,MUS,2018,7171.997137404893
Mexico,MEX,2018,576.5713412759295
Moldova,MDA,2018,441.1196385789734
Mongolia,MNG,2018,324.8356782429022
Morocco,MAR,2018,666.138872611652
Myanmar,MMR,2018,71.73950084138299
Namibia,NAM,2018,756.862851153186
Nepal,NPL,2018,192.33335814650457
Netherlands,NLD,2018,6173.433514088564
New Zealand,NZL,2018,7677.961188869872
Nigeria,NGA,2018,45.011673995451595
Norway,NOR,2018,3708.2667122291323
Oman,OMN,2018,3260.753055293042
Pakistan,PAK,2018,91.78290100842962
Panama,PAN,2018,5291.818685131166
Papua New Guinea,PNG,2018,122.32023408449926
Peru,PER,2018,704.19986320701
Philippines,PHL,2018,444.2758853591325
Poland,POL,2018,778.6963414448809
Portugal,PRT,2018,4765.189270760959
Qatar,QAT,2018,29016.61933344665
Romania,ROU,2018,754.21898355812
Russia,RUS,2018,582.1102947641202
Rwanda,RWA,2018,106.6774263511218
Saudi Arabia,SAU,2018,1913.9318260702555
Serbia,SRB,2018,397.1237042775187
Singapore,SGP,2018,20718.147384972788
South Africa,ZAF,2018,648.6235098132742
South Korea,KOR,2018,2403.6837458274913
Spain,ESP,2018,4356.630472427138
Sri Lanka,LKA,2018,741.7500115373593
Suriname,SUR,2018,2057.8988446510407
Sweden,SWE,2018,2907.70215365017
Switzerland,CHE,2018,6000.628603896961
Tajikistan,TJK,2018,283.7981974343039
Thailand,THA,2018,1882.1425035027662
Trinidad and Tobago,TTO,2018,1597.9620416894306
Tunisia,TUN,2018,644.6366579529792
Turkey,TUR,2018,1299.1934684667722
Turkmenistan,TKM,2018,246.2411429957274
Ukraine,UKR,2018,350.4873822468065
United Arab Emirates,ARE,2018,24214.52786288982
United Kingdom,GBR,2018,5039.182968378513
United States,USA,2018,1981.6690887924083
Uzbekistan,UZB,2018,179.23059529030047
Venezuela,VEN,2018,113.8573776025163
Vietnam,VNM,2018,449.30326723767934
World,OWID_WRL,2018,694.1303800270351