Entity,Code,Year,"Railways, passengers carried (million passenger-km)"
Albania,ALB,1995,197000000
Albania,ALB,1996,168000000
Albania,ALB,1997,95000000
Albania,ALB,1998,116000000
Albania,ALB,1999,121000000
Albania,ALB,2000,125000000
Albania,ALB,2001,138000000
Albania,ALB,2002,123000000
Albania,ALB,2003,105000000
Albania,ALB,2004,89000000
Albania,ALB,2005,73000000
Albania,ALB,2006,80000000
Albania,ALB,2007,51000000
Albania,ALB,2008,41000000
Albania,ALB,2009,32000000
Albania,ALB,2010,19000000
Albania,ALB,2011,18000000
Albania,ALB,2012,16000000
Albania,ALB,2013,12000000
Albania,ALB,2014,7714000
Albania,ALB,2015,6990000
Albania,ALB,2016,3200000
Albania,ALB,2017,2400000
Albania,ALB,2018,2700000
Albania,ALB,2019,2000000
Albania,ALB,2020,593000
Albania,ALB,2021,812000
Algeria,DZA,1995,1797000000
Algeria,DZA,1996,1826000000
Algeria,DZA,1997,1360000000
Algeria,DZA,1998,1163000000
Algeria,DZA,1999,1069000000
Algeria,DZA,2000,1142000000
Algeria,DZA,2001,981000000
Algeria,DZA,2002,954868000
Algeria,DZA,2003,964000000
Algeria,DZA,2004,950000000
Algeria,DZA,2005,929000000
Algeria,DZA,2006,821000000
Algeria,DZA,2007,757531000
Algeria,DZA,2008,937081000
Algeria,DZA,2009,1141000000
Algeria,DZA,2010,1045000000
Algeria,DZA,2011,1040000000
Algeria,DZA,2012,1141000000
Algeria,DZA,2014,1186000000
Algeria,DZA,2015,1269000000
Algeria,DZA,2016,1337000000
Algeria,DZA,2017,1550000000
Algeria,DZA,2018,1602000000
Algeria,DZA,2019,1454000000
Algeria,DZA,2020,348000000
Argentina,ARG,2005,8640763000
Argentina,ARG,2006,9052391000
Argentina,ARG,2007,8715438000
Argentina,ARG,2008,9237511000
Argentina,ARG,2009,9108061000
Argentina,ARG,2010,8817872000
Argentina,ARG,2011,7287933600
Argentina,ARG,2012,6002517600
Argentina,ARG,2013,5035002000
Argentina,ARG,2014,5733577000
Argentina,ARG,2015,6883565400
Argentina,ARG,2016,8065368700
Argentina,ARG,2017,8360781999.999999
Armenia,ARM,1997,84000000
Armenia,ARM,1998,52000000
Armenia,ARM,1999,46000000
Armenia,ARM,2000,47000000
Armenia,ARM,2001,47000000
Armenia,ARM,2002,48000000
Armenia,ARM,2003,41000000
Armenia,ARM,2004,30000000
Armenia,ARM,2005,27000000
Armenia,ARM,2006,28000000
Armenia,ARM,2007,24000000
Armenia,ARM,2008,24000000
Armenia,ARM,2009,35000000
Armenia,ARM,2010,50000000
Armenia,ARM,2011,49000000
Armenia,ARM,2012,53000000
Armenia,ARM,2013,55000000
Armenia,ARM,2014,52000000
Armenia,ARM,2015,44000000
Armenia,ARM,2016,50000000
Armenia,ARM,2017,55000000
Australia,AUS,1995,10344506000
Australia,AUS,1996,10696252000
Australia,AUS,1997,10976875000
Australia,AUS,1998,10950919000
Australia,AUS,1999,11164804000
Australia,AUS,2000,11552162000
Australia,AUS,2001,12149625000
Australia,AUS,2002,12005657000
Australia,AUS,2003,12021773000
Australia,AUS,2004,12087047000
Australia,AUS,2005,12062894000
Australia,AUS,2006,12590874000
Australia,AUS,2007,13212731000
Australia,AUS,2008,14276384000
Australia,AUS,2009,15004142000
Australia,AUS,2010,14992792000
Australia,AUS,2011,15275794000
Australia,AUS,2012,15568964000
Australia,AUS,2013,15543668000
Australia,AUS,2014,15571083000
Australia,AUS,2015,16016860000
Australia,AUS,2016,16503758000.000002
Australia,AUS,2017,17039193000
Australia,AUS,2018,18020934000
Australia,AUS,2019,18841832000
Australia,AUS,2020,15053004000
Australia,AUS,2021,9327631000
Austria,AUT,1995,9625000000
Austria,AUT,1996,9689000000
Austria,AUT,1997,8140000000
Austria,AUT,1998,7971000000
Austria,AUT,1999,7995000000
Austria,AUT,2000,8206000000
Austria,AUT,2001,8240000000
Austria,AUT,2002,8300000000
Austria,AUT,2003,8249000000
Austria,AUT,2004,8295000000
Austria,AUT,2005,8470000000
Austria,AUT,2006,9296000000
Austria,AUT,2007,9580000000
Austria,AUT,2008,10837000000
Austria,AUT,2009,10653000000
Austria,AUT,2010,10737000000
Austria,AUT,2011,10875000000
Austria,AUT,2012,11323000000
Austria,AUT,2013,11915000000
Austria,AUT,2014,12092000000
Austria,AUT,2015,12208000000
Austria,AUT,2016,12578000000
Austria,AUT,2017,12656700000
Austria,AUT,2018,13204700000
Austria,AUT,2019,13350000000
Austria,AUT,2020,7417005000
Austria,AUT,2021,8433154000
Azerbaijan,AZE,1995,791000000
Azerbaijan,AZE,1996,558000000
Azerbaijan,AZE,1997,489000000
Azerbaijan,AZE,1998,533000000
Azerbaijan,AZE,1999,422000000
Azerbaijan,AZE,2000,493000000
Azerbaijan,AZE,2001,537000000
Azerbaijan,AZE,2002,584000000
Azerbaijan,AZE,2003,654000000
Azerbaijan,AZE,2004,789000000
Azerbaijan,AZE,2005,878000000
Azerbaijan,AZE,2006,964000000
Azerbaijan,AZE,2007,1108000000
Azerbaijan,AZE,2008,1049000000
Azerbaijan,AZE,2009,1024000000
Azerbaijan,AZE,2010,917000000
Azerbaijan,AZE,2011,660000000
Azerbaijan,AZE,2012,591000000
Azerbaijan,AZE,2013,609000000
Azerbaijan,AZE,2014,612000000
Azerbaijan,AZE,2015,495000000
Azerbaijan,AZE,2016,448000000
Azerbaijan,AZE,2017,467000000
Azerbaijan,AZE,2018,466000000
Azerbaijan,AZE,2019,544000000
Azerbaijan,AZE,2020,172000000
Azerbaijan,AZE,2021,104000000
Bangladesh,BGD,1995,4037000000
Bangladesh,BGD,1996,3754000000
Bangladesh,BGD,1997,3753600000
Bangladesh,BGD,1998,3855500000
Bangladesh,BGD,1999,3678300000
Bangladesh,BGD,2000,3940700000
Bangladesh,BGD,2001,4209200000
Bangladesh,BGD,2002,3971800000
Bangladesh,BGD,2003,4024200000
Bangladesh,BGD,2004,4341500000
Bangladesh,BGD,2005,4164100000.0000005
Bangladesh,BGD,2007,4586000000
Bangladesh,BGD,2008,5609000000
Bangladesh,BGD,2009,6801000000
Bangladesh,BGD,2010,7304000000
Bangladesh,BGD,2011,8052000000
Bangladesh,BGD,2012,8787000000
Bangladesh,BGD,2013,8253000000
Bangladesh,BGD,2014,8135000000
Bangladesh,BGD,2015,8711000000
Bangladesh,BGD,2016,10040000000
Belarus,BLR,1995,12505000000
Belarus,BLR,1996,11657000000
Belarus,BLR,1997,12909000000
Belarus,BLR,1998,13268000000
Belarus,BLR,1999,16874000000
Belarus,BLR,2000,17722000000
Belarus,BLR,2001,15264000000
Belarus,BLR,2002,14349000000
Belarus,BLR,2003,13308000000
Belarus,BLR,2004,13893000000
Belarus,BLR,2005,13568000000
Belarus,BLR,2006,9968000000
Belarus,BLR,2007,9368000000
Belarus,BLR,2008,8188000000
Belarus,BLR,2009,7401000000
Belarus,BLR,2010,7578000000
Belarus,BLR,2011,7941000000
Belarus,BLR,2012,8977000000
Belarus,BLR,2013,8998000000
Belarus,BLR,2014,7796000000
Belarus,BLR,2015,7117000000
Belarus,BLR,2016,6428000000
Belarus,BLR,2017,6295000000
Belarus,BLR,2018,6215300000
Belarus,BLR,2019,6274100000
Belarus,BLR,2020,3741100000
Belarus,BLR,2021,4485500000
Belgium,BEL,1995,6757000000
Belgium,BEL,1996,6788000000
Belgium,BEL,1997,6980000000
Belgium,BEL,1998,7097000000
Belgium,BEL,1999,7354000000
Belgium,BEL,2000,7755000000
Belgium,BEL,2001,8036000000
Belgium,BEL,2002,8260000000
Belgium,BEL,2003,8265000000
Belgium,BEL,2004,8676000000
Belgium,BEL,2005,9150000000
Belgium,BEL,2006,9607000000
Belgium,BEL,2007,9932000000
Belgium,BEL,2008,10406000000
Belgium,BEL,2009,10427000000
Belgium,BEL,2010,10403000000
Belgium,BEL,2011,11003000000
Belgium,BEL,2012,10857000000
Belgium,BEL,2013,10595000000
Belgium,BEL,2014,10974000000
Belgium,BEL,2015,10333000000
Belgium,BEL,2016,10025000000
Belgium,BEL,2017,10167000000
Belgium,BEL,2018,10500000000
Belgium,BEL,2019,10849000000
Belgium,BEL,2020,7397000000
Belgium,BEL,2021,6970000000
Benin,BEN,1996,118000000
Benin,BEN,1997,120000000
Benin,BEN,1998,112000000
Benin,BEN,1999,108000000
Benin,BEN,2003,66000000
Bosnia and Herzegovina,BIH,1995,65000000
Bosnia and Herzegovina,BIH,1996,30000000
Bosnia and Herzegovina,BIH,1997,6000000
Bosnia and Herzegovina,BIH,1998,4000000
Bosnia and Herzegovina,BIH,1999,41000000
Bosnia and Herzegovina,BIH,2000,38000000
Bosnia and Herzegovina,BIH,2001,41000000
Bosnia and Herzegovina,BIH,2002,38000000
Bosnia and Herzegovina,BIH,2003,36000000
Bosnia and Herzegovina,BIH,2004,34000000
Bosnia and Herzegovina,BIH,2005,34000000
Bosnia and Herzegovina,BIH,2006,36000000
Bosnia and Herzegovina,BIH,2007,61000000
Bosnia and Herzegovina,BIH,2008,78000000
Bosnia and Herzegovina,BIH,2009,61000000
Bosnia and Herzegovina,BIH,2010,59000000
Bosnia and Herzegovina,BIH,2011,100000000
Bosnia and Herzegovina,BIH,2012,54000000
Bosnia and Herzegovina,BIH,2013,40000000
Bosnia and Herzegovina,BIH,2014,35000000
Bosnia and Herzegovina,BIH,2015,34000000
Bosnia and Herzegovina,BIH,2016,24000000
Bosnia and Herzegovina,BIH,2017,30000000
Bosnia and Herzegovina,BIH,2018,40000000
Bosnia and Herzegovina,BIH,2019,55500000
Bosnia and Herzegovina,BIH,2020,15000000
Botswana,BWA,1995,86000000
Botswana,BWA,1996,95800000
Botswana,BWA,1997,96000000
Botswana,BWA,1998,94000000
Botswana,BWA,1999,89000000
Botswana,BWA,2000,75000000
Botswana,BWA,2001,106000000
Botswana,BWA,2002,115000000
Botswana,BWA,2003,160000000
Botswana,BWA,2004,94000000
Botswana,BWA,2005,94000000
Botswana,BWA,2006,94000000
Brazil,BRA,2013,15191000000
Brazil,BRA,2014,15901000000
Brazil,BRA,2015,15877000000
Brazil,BRA,2016,15648000000
Brazil,BRA,2017,15807000000
Brazil,BRA,2018,16422000000
Brazil,BRA,2019,16486360000
Bulgaria,BGR,1995,4693000000
Bulgaria,BGR,1996,5065000000
Bulgaria,BGR,1997,5886000000
Bulgaria,BGR,1998,4740000000
Bulgaria,BGR,1999,3819000000
Bulgaria,BGR,2000,3472000000
Bulgaria,BGR,2001,2990000000
Bulgaria,BGR,2002,2598000000
Bulgaria,BGR,2003,2517000000
Bulgaria,BGR,2004,2404000000
Bulgaria,BGR,2005,2389000000
Bulgaria,BGR,2006,2422000000
Bulgaria,BGR,2007,2424000000
Bulgaria,BGR,2008,2335000000
Bulgaria,BGR,2009,2144000000
Bulgaria,BGR,2010,2100000000
Bulgaria,BGR,2011,2068000000
Bulgaria,BGR,2012,1876000000
Bulgaria,BGR,2013,1826000000
Bulgaria,BGR,2014,1702000000
Bulgaria,BGR,2015,1552000000
Bulgaria,BGR,2016,1458000000
Bulgaria,BGR,2017,1438000000
Bulgaria,BGR,2018,1479000000
Bulgaria,BGR,2019,1523800000
Bulgaria,BGR,2020,1119000000
Bulgaria,BGR,2021,1205000000
Cambodia,KHM,1995,38600000
Cambodia,KHM,1996,42000000
Cambodia,KHM,1997,49000000
Cambodia,KHM,1998,43000000
Cambodia,KHM,1999,50200000
Cambodia,KHM,2000,45400000
Cambodia,KHM,2001,33000000
Cambodia,KHM,2003,45000000
Cambodia,KHM,2004,45000000
Cambodia,KHM,2005,45000000
Cameroon,CMR,1995,399000000
Cameroon,CMR,1996,334000000
Cameroon,CMR,1997,317000000
Cameroon,CMR,1998,281000000
Cameroon,CMR,1999,248800000
Cameroon,CMR,2000,327100000
Cameroon,CMR,2001,302800000
Cameroon,CMR,2002,308500000
Cameroon,CMR,2003,319000000
Cameroon,CMR,2004,308000000
Cameroon,CMR,2005,324000000
Cameroon,CMR,2006,361935000
Cameroon,CMR,2007,370000000
Cameroon,CMR,2008,377477000
Cameroon,CMR,2009,435390050
Cameroon,CMR,2010,463485000
Cameroon,CMR,2011,494747000
Cameroon,CMR,2017,262124000.00000003
Cameroon,CMR,2018,256872000
Cameroon,CMR,2019,254555000
Cameroon,CMR,2020,225373000
Canada,CAN,1995,1382000000
Canada,CAN,1996,1411000000
Canada,CAN,1997,1440000000
Canada,CAN,1998,1469000000
Canada,CAN,1999,1498000000
Canada,CAN,2000,1548000000
Canada,CAN,2001,1553000000
Canada,CAN,2002,1596000000
Canada,CAN,2003,1433000000
Canada,CAN,2004,1413000000
Canada,CAN,2005,1478000000
Canada,CAN,2006,1450000000
Canada,CAN,2007,1453000000
Canada,CAN,2008,1574000000
Canada,CAN,2009,1413000000
Canada,CAN,2010,1404000000
Canada,CAN,2011,1404000000
Canada,CAN,2012,1376000000
Canada,CAN,2013,1365000000
Canada,CAN,2014,1327000000
Canada,CAN,2015,1349000000
Canada,CAN,2016,1408000000
Canada,CAN,2017,1534000000
Canada,CAN,2018,1530000000
Canada,CAN,2019,1731000000
Canada,CAN,2020,229000000
Canada,CAN,2021,536000000
Chile,CHL,1995,689000000
Chile,CHL,1996,642000000
Chile,CHL,1997,550000000
Chile,CHL,1998,533900000
Chile,CHL,1999,637190000
Chile,CHL,2000,736000000
Chile,CHL,2001,870000000
Chile,CHL,2002,769000000
Chile,CHL,2003,829000000
Chile,CHL,2004,820000000
Chile,CHL,2010,696350460
Chile,CHL,2011,851582100
Chile,CHL,2012,933999600
Chile,CHL,2013,861780400
Chile,CHL,2014,662561650
Chile,CHL,2015,584365970
Chile,CHL,2016,582860350
Chile,CHL,2017,846130000
Chile,CHL,2018,973000000
Chile,CHL,2019,1063000000
Chile,CHL,2020,517000000
Chile,CHL,2021,738000000
China,CHN,1995,354261000000
China,CHN,1996,332202000000
China,CHN,1997,354353000000
China,CHN,1998,369097000000
China,CHN,1999,404627000000
China,CHN,2000,441468000000
China,CHN,2001,463655000000
China,CHN,2002,480305000000
China,CHN,2003,462279000000
China,CHN,2004,551196000000
China,CHN,2005,583320000000
China,CHN,2006,635327000000
China,CHN,2007,689618000000
China,CHN,2008,777860000000
China,CHN,2009,787890000000
China,CHN,2010,791158000000
China,CHN,2011,921541000000
China,CHN,2012,940249000000
China,CHN,2013,1008172000000
China,CHN,2014,1089560000000
China,CHN,2015,1109312000000
China,CHN,2016,1160059000000
China,CHN,2017,1266681000000
China,CHN,2018,1361715000000
China,CHN,2019,1438606000000
China,CHN,2020,328251000000
China,CHN,2021,946499000000
Congo,COG,1995,302000000
Congo,COG,1996,360000000
Congo,COG,1997,234497000
Congo,COG,1998,242000000
Congo,COG,1999,8000000
Congo,COG,2000,83900000
Congo,COG,2001,170900000
Congo,COG,2002,76000000
Congo,COG,2003,59000000
Congo,COG,2004,135000000
Congo,COG,2005,167500000
Congo,COG,2006,211000000
Congo,COG,2007,199000000
Congo,COG,2008,233000000
Congo,COG,2009,207000000
Congo,COG,2011,264560000
Congo,COG,2012,266470000.00000003
Cote d'Ivoire,CIV,1995,161000000
Cote d'Ivoire,CIV,1996,157512000
Cote d'Ivoire,CIV,1997,155000000
Cote d'Ivoire,CIV,1998,119000000
Cote d'Ivoire,CIV,1999,93100000
Cote d'Ivoire,CIV,2000,125910000
Cote d'Ivoire,CIV,2001,182000000
Cote d'Ivoire,CIV,2002,148000000
Cote d'Ivoire,CIV,2003,10000000
Croatia,HRV,1995,1139000000
Croatia,HRV,1996,1205000000
Croatia,HRV,1997,1158000000
Croatia,HRV,1998,1092000000
Croatia,HRV,1999,1137000000
Croatia,HRV,2000,1252000000
Croatia,HRV,2001,1241000000
Croatia,HRV,2002,1195000000
Croatia,HRV,2003,1163000000
Croatia,HRV,2004,1213000000
Croatia,HRV,2005,1266000000
Croatia,HRV,2006,1362000000
Croatia,HRV,2007,1611000000
Croatia,HRV,2008,1810000000
Croatia,HRV,2009,1835000000
Croatia,HRV,2010,1742000000
Croatia,HRV,2011,1486000000
Croatia,HRV,2012,1104000000
Croatia,HRV,2013,948000000
Croatia,HRV,2014,927000000
Croatia,HRV,2015,951000000
Croatia,HRV,2016,836000000
Croatia,HRV,2017,745000000
Croatia,HRV,2018,756000000
Croatia,HRV,2019,734000000
Croatia,HRV,2020,449000000
Croatia,HRV,2021,540000000
Cuba,CUB,1995,2188200000
Cuba,CUB,1996,2159200000
Cuba,CUB,1997,1962200000
Cuba,CUB,1998,1750400000
Cuba,CUB,1999,1498800000
Cuba,CUB,2000,1853000000
Cuba,CUB,2002,1681400000
Cuba,CUB,2003,2046100000
Cuba,CUB,2004,1759500000
Cuba,CUB,2005,1513800000
Cuba,CUB,2006,1233400000
Cuba,CUB,2007,1284800000
Czechia,CZE,1995,8023000000
Czechia,CZE,1996,8111000000
Czechia,CZE,1997,7721000000
Czechia,CZE,1998,7018000000
Czechia,CZE,1999,6957000000
Czechia,CZE,2000,7300000000
Czechia,CZE,2001,7299000000
Czechia,CZE,2002,6597000000
Czechia,CZE,2003,6518000000
Czechia,CZE,2004,6590000000
Czechia,CZE,2005,6667000000
Czechia,CZE,2006,6922000000
Czechia,CZE,2007,6900000000
Czechia,CZE,2008,6803000000
Czechia,CZE,2009,6503000000
Czechia,CZE,2010,6591000000
Czechia,CZE,2011,6714000000
Czechia,CZE,2012,7265000000
Czechia,CZE,2013,7601000000
Czechia,CZE,2014,7797000000
Czechia,CZE,2015,8298111999.999999
Czechia,CZE,2016,8843373000
Czechia,CZE,2017,9497566000
Czechia,CZE,2018,10286019000
Czechia,CZE,2019,10930618000
Czechia,CZE,2020,6665141000
Czechia,CZE,2021,6820176000
Democratic Republic of Congo,COD,1995,60000000
Democratic Republic of Congo,COD,1996,146000000
Democratic Republic of Congo,COD,1997,161000000
Democratic Republic of Congo,COD,1998,143000000
Democratic Republic of Congo,COD,1999,146000000
Democratic Republic of Congo,COD,2000,188000000
Democratic Republic of Congo,COD,2001,222000000
Democratic Republic of Congo,COD,2002,160000000
Democratic Republic of Congo,COD,2003,142000000
Democratic Republic of Congo,COD,2004,140000000
Democratic Republic of Congo,COD,2005,140400000
Democratic Republic of Congo,COD,2006,94100000
Democratic Republic of Congo,COD,2007,84844510
Democratic Republic of Congo,COD,2008,89075040
Democratic Republic of Congo,COD,2009,34959846
Democratic Republic of Congo,COD,2010,36684160
Democratic Republic of Congo,COD,2011,24649633
Democratic Republic of Congo,COD,2012,22242205
Democratic Republic of Congo,COD,2013,30000000
Democratic Republic of Congo,COD,2014,20000000
Democratic Republic of Congo,COD,2015,16700000
Democratic Republic of Congo,COD,2016,28397202
Democratic Republic of Congo,COD,2017,22724000
Democratic Republic of Congo,COD,2018,29514000
Democratic Republic of Congo,COD,2019,27368000
Democratic Republic of Congo,COD,2020,5359000
Democratic Republic of Congo,COD,2021,7247270
Denmark,DNK,1995,4684000000
Denmark,DNK,1996,4621000000
Denmark,DNK,1997,4978000000
Denmark,DNK,1998,5163000000
Denmark,DNK,1999,5113000000
Denmark,DNK,2000,5537000000
Denmark,DNK,2001,5721000000
Denmark,DNK,2002,5754000000
Denmark,DNK,2003,5893000000
Denmark,DNK,2004,6074000000
Denmark,DNK,2005,6136000000
Denmark,DNK,2006,6274000000
Denmark,DNK,2007,6353000000
Denmark,DNK,2008,6475000000
Denmark,DNK,2009,6367000000
Denmark,DNK,2010,6577000000
Denmark,DNK,2011,6890000000
Denmark,DNK,2012,7020000000
Denmark,DNK,2013,7076000000
Denmark,DNK,2014,6808000000
Denmark,DNK,2015,6808000000
Denmark,DNK,2016,6653000000
Denmark,DNK,2017,6623000000
Denmark,DNK,2018,6560000000
Djibouti,DJI,1999,150000000
Djibouti,DJI,2000,145000000
Djibouti,DJI,2001,173000000
Djibouti,DJI,2002,127000000
Djibouti,DJI,2003,82000000
Djibouti,DJI,2005,145000000
East Asia and Pacific (WB),,1995,4178000000
East Asia and Pacific (WB),,1996,4294000000
East Asia and Pacific (WB),,1997,3784000000
East Asia and Pacific (WB),,1998,3948000000
East Asia and Pacific (WB),,1999,7003000000
East Asia and Pacific (WB),,2000,9935000000
East Asia and Pacific (WB),,2001,10037000000
East Asia and Pacific (WB),,2002,10022000000
East Asia and Pacific (WB),,2003,8726000000
East Asia and Pacific (WB),,2004,9195000000
East Asia and Pacific (WB),,2005,10781446000
East Asia and Pacific (WB),,2007,12834866000
