Entity,Code,Year,% global international CO2
Afghanistan,AFG,2018,0.017542510922538522
Algeria,DZA,2018,0.10985326128759001
Angola,AGO,2018,0.053020300984561654
Argentina,ARG,2018,0.354518460727848
Australia,AUS,2018,1.6534732479753893
Austria,AUT,2018,0.2960187435904174
Azerbaijan,AZE,2018,0.05299850566916497
Bahrain,BHR,2018,0.10149792248166992
Bangladesh,BGD,2018,0.149553125655443
Belarus,BLR,2018,0.034250391759687256
Belgium,BEL,2018,0.3617463737487248
Bolivia,BOL,2018,0.03330478603561575
Brazil,BRA,2018,0.7805282622711113
Brunei,BRN,2018,0.02275974929598786
Bulgaria,BGR,2018,0.08873318222468259
Cambodia,KHM,2018,0.07700515710284911
Canada,CAN,2018,1.4621144513221764
Chile,CHL,2018,0.24501799895327528
China,CHN,2018,4.067194880338158
Colombia,COL,2018,0.2466369144444208
Costa Rica,CRI,2018,0.08726216723300462
Croatia,HRV,2018,0.07152169581899281
Cuba,CUB,2018,0.16388843430499642
Czechia,CZE,2018,0.15489377122307538
Democratic Republic of Congo,COD,2018,0.016057128542438768
Denmark,DNK,2018,0.3180896390484711
Ecuador,ECU,2018,0.07146381768179394
Egypt,EGY,2018,0.3249701364040217
El Salvador,SLV,2018,0.05667947583210937
Ethiopia,ETH,2018,0.2298336316735991
European Union,,2018,10.027380971853917
Fiji,FJI,2018,0.04564904717989824
Finland,FIN,2018,0.24283168681891779
France,FRA,2018,1.9574242709564462
Georgia,GEO,2018,0.05135310147598027
Germany,DEU,2018,2.764292838775246
Greece,GRC,2018,0.41519931393685805
Hungary,HUN,2018,0.11756707994579804
Iceland,ISL,2018,0.15819355084332248
India,IND,2018,1.1505591402942152
Indonesia,IDN,2018,0.6273785458834175
Iran,IRN,2018,0.13995461301389542
Iraq,IRQ,2018,0.07361336496871958
Ireland,IRL,2018,0.37047664914841993
Israel,ISR,2018,0.35529236377256546
Italy,ITA,2018,1.2907997804410118
Japan,JPN,2018,1.8767887624817747
Jordan,JOR,2018,0.09714912787494986
Kazakhstan,KAZ,2018,0.09047302889855995
Kenya,KEN,2018,0.15501644607491136
Kuwait,KWT,2018,0.18041319469812123
Kyrgyzstan,KGZ,2018,0.028964795867654134
Latvia,LVA,2018,0.051309280580423014
Lebanon,LBN,2018,0.09869205390927029
Libya,LBY,2018,0.009912602446370614
Luxembourg,LUX,2018,0.028980597723275655
Madagascar,MDG,2018,0.019476477705165293
Malaysia,MYS,2018,0.7129015608237137
Malta,MLT,2018,0.05829278023590991
Mauritius,MUS,2018,0.10176363329155777
Mexico,MEX,2018,0.8219227297800968
Moldova,MDA,2018,0.023081575375006984
Mongolia,MNG,2018,0.012654067855131587
Morocco,MAR,2018,0.26634180672969593
Myanmar,MMR,2018,0.0454522144354988
Namibia,NAM,2018,0.025784065310252492
Nepal,NPL,2018,0.0587547703958152
Netherlands,NLD,2018,1.0676168767785312
New Zealand,NZL,2018,0.40664802595768035
Nigeria,NGA,2018,0.10794796189076054
Norway,NOR,2018,0.21302744338818339
Oman,OMN,2018,0.18716411226782956
Pakistan,PAK,2018,0.21697427138074807
Panama,PAN,2018,0.24997750786190623
Papua New Guinea,PNG,2018,0.011901699469780676
Peru,PER,2018,0.2372263270186839
Philippines,PHL,2018,0.5202427304053667
Poland,POL,2018,0.32678797002575555
Portugal,PRT,2018,0.5322622155046489
Qatar,QAT,2018,0.921137197719447
Rest of the World,,2018,2.3220959591355506
Romania,ROU,2018,0.15847921993668845
Russia,RUS,2018,0.9443777217410213
Rwanda,RWA,2018,0.02034139696962183
Saudi Arabia,SAU,2018,0.7643194626652613
Serbia,SRB,2018,0.042828355430286597
Singapore,SGP,2018,1.3423818597075154
South Africa,ZAF,2018,0.4630084913758589
South Korea,KOR,2018,1.440176117796685
Spain,ESP,2018,2.0950277705452502
Sri Lanka,LKA,2018,0.1663695963935857
Suriname,SUR,2018,0.01263140644341129
Sweden,SWE,2018,0.3068086092925618
Switzerland,CHE,2018,0.5860033175937887
Tajikistan,TJK,2018,0.025513667865189358
Thailand,THA,2018,1.4042166617397538
Trinidad and Tobago,TTO,2018,0.025387323590820274
Tunisia,TUN,2018,0.09100790640068675
Turkey,TUR,2018,1.1294293047364559
Turkmenistan,TKM,2018,0.01932835932280199
Ukraine,UKR,2018,0.18495425391623435
United Arab Emirates,ARE,2018,2.8309003175022123
United Kingdom,GBR,2018,3.7948277700611377
United States,USA,2018,7.4722841503816255
Uzbekistan,UZB,2018,0.06604151668673315
Venezuela,VEN,2018,0.042000493807647636
Vietnam,VNM,2018,0.42925840505089013
World,OWID_WRL,2018,59.40605280026031