Entity,Code,Year,% global domestic CO2
Afghanistan,AFG,2018,0.007411434672045797
Algeria,DZA,2018,0.025030233169130663
Angola,AGO,2018,0.009127997578230133
Argentina,ARG,2018,0.2069178810789644
Australia,AUS,2018,0.8907262117628413
Austria,AUT,2018,0.004393509172429786
Azerbaijan,AZE,2018,0.0003667895862454684
Bahrain,BHR,2018,0
Bangladesh,BGD,2018,0.019953142340795954
Belarus,BLR,2018,0
Belgium,BEL,2018,0
Bolivia,BOL,2018,0.04118886775892658
Brazil,BRA,2018,1.202146870775615
Brunei,BRN,2018,0
Bulgaria,BGR,2018,0.0025095513057978238
Cambodia,KHM,2018,0.004596757212573971
Canada,CAN,2018,0.8353676530462895
Chile,CHL,2018,0.17670288780212345
China,CHN,2018,8.641858700321473
Colombia,COL,2018,0.20497724801716577
Costa Rica,CRI,2018,0.000911230867802621
Croatia,HRV,2018,0.004518772426025321
Cuba,CUB,2018,0.00552890110357778
Czechia,CZE,2018,0.0003324158622063186
Democratic Republic of Congo,COD,2018,0.009031586035602333
Denmark,DNK,2018,0.024653373242236716
Ecuador,ECU,2018,0.02873370524773864
Egypt,EGY,2018,0.020887521131243297
El Salvador,SLV,2018,0
Ethiopia,ETH,2018,0.016252430966324376
European Union,,2018,8.952620215323217
Fiji,FJI,2018,0.006191057006229019
Finland,FIN,2018,0.027720012411013257
France,FRA,2018,0.6062816863564906
Georgia,GEO,2018,0.00007036266626978201
Germany,DEU,2018,0.20455071035004846
Greece,GRC,2018,0.054691861163553526
Hungary,HUN,2018,0.000025219211233609116
Iceland,ISL,2018,0.0032185577810934364
India,IND,2018,1.4439661405869502
Indonesia,IDN,2018,1.2326717574343005
Iran,IRN,2018,0.23421238316494397
Iraq,IRQ,2018,0.008151047747684447
Ireland,IRL,2018,0.0006511355830303163
Israel,ISR,2018,0.007651033484385762
Italy,ITA,2018,0.30144924077088164
Japan,JPN,2018,1.2597332883810168
Jordan,JOR,2018,0.0006940508125066665
Kazakhstan,KAZ,2018,0.08464509230269311
Kenya,KEN,2018,0.04885954572000058
Kuwait,KWT,2018,0
Kyrgyzstan,KGZ,2018,0.0033035116202343056
Latvia,LVA,2018,0.00009987545882986751
Lebanon,LBN,2018,0
Libya,LBY,2018,0.0015344127568762875
Luxembourg,LUX,2018,0
Madagascar,MDG,2018,0.0036708249876229145
Malaysia,MYS,2018,0.25451699109994164
Malta,MLT,2018,0
Mauritius,MUS,2018,0.0014841899852368486
Mexico,MEX,2018,0.6747368469948934
Moldova,MDA,2018,0
Mongolia,MNG,2018,0.0017049277062265921
Morocco,MAR,2018,0.008929007523003971
Myanmar,MMR,2018,0.026355399925939542
Namibia,NAM,2018,0.003764834211161728
Nepal,NPL,2018,0.014539888611914305
Netherlands,NLD,2018,0.06327620340728744
New Zealand,NZL,2018,0.11062906916407958
Nigeria,NGA,2018,0.05200760434616353
Norway,NOR,2018,0.14955449298273885
Oman,OMN,2018,0.012352294127695765
Pakistan,PAK,2018,0.04443013206026646
Panama,PAN,2018,0.004316862719699229
Papua New Guinea,PNG,2018,0.023193189357011746
Peru,PER,2018,0.12636036393959138
Philippines,PHL,2018,0.23110927789132368
Poland,POL,2018,0.014228959253115276
Portugal,PRT,2018,0.0589858444801075
Qatar,QAT,2018,0
Rest of the World,,2018,0.15734857229892651
Romania,ROU,2018,0.011474784745597842
Russia,RUS,2018,1.2360880576014988
Rwanda,RWA,2018,0.00023537892923096708
Saudi Arabia,SAU,2018,0.2944427345885901
Serbia,SRB,2018,0
Singapore,SGP,2018,0
South Africa,ZAF,2018,0.19414478943536184
South Korea,KOR,2018,0.18946828131606555
Spain,ESP,2018,0.3850356400321783
Sri Lanka,LKA,2018,0.001285253155350039
Suriname,SUR,2018,0
Sweden,SWE,2018,0.07313768944693845
Switzerland,CHE,2018,0.004469396771269431
Tajikistan,TJK,2018,0.00005269286234632414
Thailand,THA,2018,0.3463317198834803
Trinidad and Tobago,TTO,2018,0.0030832768984046027
Tunisia,TUN,2018,0.0021889845823510326
Turkey,TUR,2018,0.4676784729063566
Turkmenistan,TKM,2018,0.01011512898962959
Ukraine,UKR,2018,0.009433131696560031
United Arab Emirates,ARE,2018,0.00017774216496927448
United Kingdom,GBR,2018,0.20212495084015492
United States,USA,2018,16.885703363242353
Uzbekistan,UZB,2018,0.007266578791994085
Venezuela,VEN,2018,0.016204849329669074
Vietnam,VNM,2018,0.3018108692017634
World,OWID_WRL,2018,40.59394719973973