Entity,Code,Year,% global domestic RPKs
Afghanistan,AFG,2018,0.0041032136776857735
Algeria,DZA,2018,0.015494984165928793
Angola,AGO,2018,0.004792940876469696
Argentina,ARG,2018,0.18859348714233604
Australia,AUS,2018,0.8972991520388298
Austria,AUT,2018,0.002356144199285847
Azerbaijan,AZE,2018,0.00015899392575285031
Bahrain,BHR,2018,0
Bangladesh,BGD,2018,0.009571484586830865
Belarus,BLR,2018,0
Belgium,BEL,2018,0
Bolivia,BOL,2018,0.01969104306462451
Brazil,BRA,2018,1.123213760315545
Brunei,BRN,2018,0
Bulgaria,BGR,2018,0.0012416794968959112
Cambodia,KHM,2018,0.0023380106154600477
Canada,CAN,2018,0.7421359188368112
Chile,CHL,2018,0.180909616222136
China,CHN,2018,9.031600316998203
Colombia,COL,2018,0.13834219743684056
Costa Rica,CRI,2018,0.00009314052964953923
Croatia,HRV,2018,0.002153743723677732
Cuba,CUB,2018,0.0035285031407535886
Czechia,CZE,2018,0.00015239838076355655
Democratic Republic of Congo,COD,2018,0.007258976246510141
Denmark,DNK,2018,0.016148708829219184
Ecuador,ECU,2018,0.02000856188738681
Egypt,EGY,2018,0.010975412126546773
El Salvador,SLV,2018,0
Ethiopia,ETH,2018,0.009751617057043457
European Union,,2018,9.255159646179463
Fiji,FJI,2018,0.006083877101157041
Finland,FIN,2018,0.023568232412369886
France,FRA,2018,0.5258749852898207
Georgia,GEO,2018,0.000023379037673590858
Germany,DEU,2018,0.1452203318801732
Greece,GRC,2018,0.03269346470359027
Hungary,HUN,2018,0.000010241704119438115
Iceland,ISL,2018,0.0010602166612231172
India,IND,2018,1.4690537906225452
Indonesia,IDN,2018,1.0163136182767871
Iran,IRN,2018,0.13673545592422276
Iraq,IRQ,2018,0.0036089752221385185
Ireland,IRL,2018,0.00037436652646604784
Israel,ISR,2018,0.003644982208706953
Italy,ITA,2018,0.260193817695392
Japan,JPN,2018,1.1231072129848059
Jordan,JOR,2018,0.0002723809322458725
Kazakhstan,KAZ,2018,0.05393084715191186
Kenya,KEN,2018,0.018734612598555002
Kuwait,KWT,2018,0
Kyrgyzstan,KGZ,2018,0.0015031164772804457
Latvia,LVA,2018,0.00003802962530823722
Lebanon,LBN,2018,0
Libya,LBY,2018,0.001001245071667475
Luxembourg,LUX,2018,0
Madagascar,MDG,2018,0.0023720283905330325
Malaysia,MYS,2018,0.2360391419387656
Malta,MLT,2018,0
Mauritius,MUS,2018,0.001264526050105076
Mexico,MEX,2018,0.5615936863404715
Moldova,MDA,2018,0
Mongolia,MNG,2018,0.0010783050175942122
Morocco,MAR,2018,0.004677902786444271
Myanmar,MMR,2018,0.018406535513510517
Namibia,NAM,2018,0.0011971420998502895
Nepal,NPL,2018,0.005215640452465713
Netherlands,NLD,2018,0.07474863365398743
New Zealand,NZL,2018,0.0901157412555507
Nigeria,NGA,2018,0.022095437692310677
Norway,NOR,2018,0.10520259295745354
Oman,OMN,2018,0.009236166395080953
Pakistan,PAK,2018,0.04264369730873866
Panama,PAN,2018,0.0014856522849364118
Papua New Guinea,PNG,2018,0.011785918858418785
Peru,PER,2018,0.10245431760072458
Philippines,PHL,2018,0.1884242508513244
Poland,POL,2018,0.00701650574646896
Portugal,PRT,2018,0.0513364762384505
Qatar,QAT,2018,0
Rest of the World,,2018,0.06756465403584544
Romania,ROU,2018,0.006481076683472554
Russia,RUS,2018,1.1858336428500178
Rwanda,RWA,2018,0.00006803636370392417
Saudi Arabia,SAU,2018,0.22629502275202515
Serbia,SRB,2018,0
Singapore,SGP,2018,0
South Africa,ZAF,2018,0.14916311304055255
South Korea,KOR,2018,0.12837330684392342
Spain,ESP,2018,0.33979849229847847
Sri Lanka,LKA,2018,0.00012171259162899877
Suriname,SUR,2018,0
Sweden,SWE,2018,0.052081838736129954
Switzerland,CHE,2018,0.002232702206781315
Tajikistan,TJK,2018,0.000022754122280939426
Thailand,THA,2018,0.2702637219625768
Trinidad and Tobago,TTO,2018,0.000761424887938187
Tunisia,TUN,2018,0.001163058034846585
Turkey,TUR,2018,0.39619491359026443
Turkmenistan,TKM,2018,0.005581069256110875
Ukraine,UKR,2018,0.005112463672905277
United Arab Emirates,ARE,2018,0.000022194238416307223
United Kingdom,GBR,2018,0.14128667458378025
United States,USA,2018,15.613167074273212
Uzbekistan,UZB,2018,0.004858152279042488
Venezuela,VEN,2018,0.007325167233120633
Vietnam,VNM,2018,0.3049914533409677
World,OWID_WRL,2018,37.702115204940554