Entity,Code,Year,% global total RPKs
Afghanistan,AFG,2018,0.021450362634245376
Algeria,DZA,2018,0.1071841719597873
Angola,AGO,2018,0.0499023521204896
Argentina,ARG,2018,0.5597950823616449
Australia,AUS,2018,2.5932907213622745
Austria,AUT,2018,0.28980249475796716
Azerbaijan,AZE,2018,0.04774432850798484
Bahrain,BHR,2018,0.0940137349848803
Bangladesh,BGD,2018,0.17204968185013517
Belarus,BLR,2018,0.024391137567857855
Belgium,BEL,2018,0.38604356094265924
Bolivia,BOL,2018,0.051562362563592534
Brazil,BRA,2018,1.9510910129334729
Brunei,BRN,2018,0.02489410325079021
Bulgaria,BGR,2018,0.09922663724629495
Cambodia,KHM,2018,0.08268090753973523
Canada,CAN,2018,2.330203245149283
Chile,CHL,2018,0.4499884767867595
China,CHN,2018,13.425563784519563
Colombia,COL,2018,0.4010221089264797
Costa Rica,CRI,2018,0.09084316482482026
Croatia,HRV,2018,0.07268072684224168
Cuba,CUB,2018,0.17708182937470357
Czechia,CZE,2018,0.15761252481465918
Democratic Republic of Congo,COD,2018,0.022618220330229352
Denmark,DNK,2018,0.33863522202698065
Ecuador,ECU,2018,0.09392717322906224
Egypt,EGY,2018,0.3370369217203852
El Salvador,SLV,2018,0.06023890620951086
Ethiopia,ETH,2018,0.24317785960851915
European Union,,2018,19.74229964661601
Fiji,FJI,2018,0.05498693173812846
Finland,FIN,2018,0.31287806977701604
France,FRA,2018,2.592541286152297
Georgia,GEO,2018,0.04982058047125039
Germany,DEU,2018,2.9071744246544604
Greece,GRC,2018,0.5156448585500091
Hungary,HUN,2018,0.1311679049720315
Iceland,ISL,2018,0.1782629793818384
India,IND,2018,2.7467682664407667
Indonesia,IDN,2018,1.675038389117451
Iran,IRN,2018,0.2609940239291299
Iraq,IRQ,2018,0.0663840893038851
Ireland,IRL,2018,0.3880830082627448
Israel,ISR,2018,0.40049125428660914
Italy,ITA,2018,1.599037611931527
Japan,JPN,2018,3.1439028806470573
Jordan,JOR,2018,0.09642561856483742
Kazakhstan,KAZ,2018,0.1368076617782071
Kenya,KEN,2018,0.15892692157669286
Kuwait,KWT,2018,0.16507691756046342
Kyrgyzstan,KGZ,2018,0.034178373633785834
Latvia,LVA,2018,0.05061680127532987
Lebanon,LBN,2018,0.09074075096778822
Libya,LBY,2018,0.008910597904290864
Luxembourg,LUX,2018,0.024225510333396025
Madagascar,MDG,2018,0.020440137965620876
Malaysia,MYS,2018,1.036512811241034
Malta,MLT,2018,0.06648327771614888
Mauritius,MUS,2018,0.1081361299521948
Mexico,MEX,2018,1.4173045360430832
Moldova,MDA,2018,0.021021874276261326
Mongolia,MNG,2018,0.013188986743246362
Morocco,MAR,2018,0.2869465167724331
Myanmar,MMR,2018,0.06372163477012759
Namibia,NAM,2018,0.022987993931507855
Nepal,NPL,2018,0.06876990735139416
Netherlands,NLD,2018,1.3134066193423322
New Zealand,NZL,2018,0.5184123561747705
Nigeria,NGA,2018,0.12578852299931823
Norway,NOR,2018,0.3380091118111103
Oman,OMN,2018,0.19442752597737561
Pakistan,PAK,2018,0.27173577269948346
Panama,PAN,2018,0.26145074457064715
Papua New Guinea,PNG,2018,0.02416662027898668
Peru,PER,2018,0.36739106796839316
Philippines,PHL,2018,0.7456911889610511
Poland,POL,2018,0.35431665738336326
Portugal,PRT,2018,0.6261192875510904
Qatar,QAT,2018,0.9494006893943876
Rest of the World,,2018,2.4912758723919293
Romania,ROU,2018,0.17950704324775024
Russia,RUS,2018,2.183560746156374
Rwanda,RWA,2018,0.015502582278556007
Saudi Arabia,SAU,2018,0.9849435680269876
Serbia,SRB,2018,0.041115172574457785
Singapore,SGP,2018,1.403033961442396
South Africa,ZAF,2018,0.5900361406672651
South Korea,KOR,2018,1.5749961635832341
Spain,ESP,2018,2.7322773445588857
Sri Lanka,LKA,2018,0.18531818223753385
Suriname,SUR,2018,0.013940941717513517
Sweden,SWE,2018,0.39310022327908484
Switzerland,CHE,2018,0.6039433280961144
Tajikistan,TJK,2018,0.030399717096369953
Thailand,THA,2018,1.8071182529500573
Trinidad and Tobago,TTO,2018,0.026884654266863334
Tunisia,TUN,2018,0.08884420866876176
Turkey,TUR,2018,1.6543387547327395
Turkmenistan,TKM,2018,0.02252586434300048
Ukraine,UKR,2018,0.18749867735251682
United Arab Emirates,ARE,2018,2.742814946594857
United Kingdom,GBR,2018,4.120525505814339
United States,USA,2018,23.236624391732004
Uzbekistan,UZB,2018,0.07331553400663937
Venezuela,VEN,2018,0.046007194168347226
Vietnam,VNM,2018,0.8098825259820527
World,OWID_WRL,2018,99.99999999999997