"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","42","23","25","26","28","19","21","32","32","26","36","53","52","46","66","50","25","23","39.887","23.124","8.8","25.3","20.4","43","26.039","25.1151187","","",
"Andorra","AND","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1538","1616","1654","","1635","1568","1491","2030.4445","","1945","1471","","","","","1722.304","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1373","1488.485","1426","1380","","",
"Argentina","ARG","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7613","8506","9835","9824","9102","8696","8987","9445","10989","11603","12262","12628","12871","12025","10649","12112","12198","10583","9746","8893","8274","8529","8377","","","","","","",
"Armenia","ARM","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222","200","381","419","323","354","344","452","529","678","654.136","354","771","326.4","718","345.9","816","867","851","786","640","658","689.46","730","860","840","","","",
"American Samoa","ASM","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106195","110255","119619","125587","127963","133568","137534","150513","160580","168700","183944","189425","198961","218684","237163","258624","261420","290570","319000","367700","401600","413490","431307.31114667","441273.24126364","443004.62783715","447434.67411552","453091.00602501","","",
"Austria","AUT","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13715","13909","14199","14714","15039","16602","16895","17132","16869","17931","17064","20980","21371","21915","17767","19833","20345","19499","19564","20746","20814","21361","22256","21996.241","21736","20498.028","21780.869","","",
"Azerbaijan","AZE","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2409","2777","3515","4702","5052","5677","6141","6980","7719","7536","9628","11059","10375","10021","7592","8250","7845","8212","7958","7371","6210","5192","4633","4492","5152","4861","5316","","",
"Burundi","BDI","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7287","7244","7465","7600","7392","7674","7080","7276","7293","7691","8042","8587","8148","8469","5947","6264","6698","","","","","","","","","","","","",
"Benin","BEN","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178","218","219","155","89","94","89","86","45","24","36","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.675","0.737","0.84","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","689","782","804","896","896","777","908","952","952","896","817","","776","870","800","710","693","582","525","677","694","1053","","","","","","","",
"Bulgaria","BGR","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8595","7549","7444","6152","5297","5538","4904","4627","5274","5211","5163","5396","5241","4693","3145","3064","3291","2908","3246","3439","3650","3434","3931","3792","3901.6","4503","4658","","",
"Bahrain","BHR","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","18","47","73","115","140","280","308","318","363","379","372","1088","1242","992","877","1018","1150","1243","1313","1286","1142","1130.1","1187.9","1275","1040","","","",
"Belarus","BLR","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25510","26018","30636","30370","30529","31425","29727","34169","38402","40331","43559","45723","47933","48994","42742","46224","49414","48475","43818","44997","40785","41107","48538","52573.7","48205.4","42420.4","44478.2","","",
"Belize","BLZ","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7446.1","9393.5","","","","","","","","","","","","","","","","",
"Barbados","BRB","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","626","794","795","1111","1282","1037","747","715","893","674","674","674","674","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245625","269458","256145","265707","283842","291518","288701","300424","327812","337953","341514","347922","334824","294786","332635","347824","368297","386266","414069","412985","396806","420143","445546","446081","444032","430170","","",
"Central Europe and the Baltics","CEB","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8595","8103","8622","8265","7849","8918","8557","9767","10113","10488","10639","10418","10137","9874","7673","8809","9118","9230","9722","10158","10009.615","10527.534","11344.565","10584.08","10624.909","7623.5","7973.3","","",
"Switzerland","CHE","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8856","8031","8836","9411","9831","11080","11172","10746","10598","11489","11677","12466","11952","12265","10565","11074","11526","11061","11812","12313","12431","12447","11653","11776","11666","11063","12024","","",
"Channel Islands","CHI","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3833.633027","4118.699224","4089.738747","3981.463012","4103.932874","4085.724617","4076.755917","3760.2204401392","3816.070253512","3079.8397523271","3585.4572606123","","","",
"China","CHN","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1304950","1310620","1326990","1256010","1291030","1377050","1469410","1565840","1724670","1928880","2072600","2195441","2379700","2510628","2523917","2764413","2946579","2918709","2917390","2753020","2375430","2379230","2696220","2882100","3018200","","","","",
"Cote d'Ivoire","CIV","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","186","505","530","537","523","699","606","129","501","675","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","812","607","869","837","612","1063","1159","1162","1062","1114","1119","1136.385798","1055","978","1018.255942","1081.346693","1056.962047","","","","","","841.569","812.416","974.087","955.515","874.050746","","",
"Congo, Dem. Rep.","COD","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251","318","262","365","326","362","409","430","403","491","427","323","299","275","152","193","158","170","174","148","133","174","194","188.0536","158","171.257609","192","","",
"Congo, Rep.","COG","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","267","289","139","135","20","85","228","307","247","231","264","237","224","253","257","","","","","","","","","","","","","","",
"Colombia","COL","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Comoros","COM","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","886","1055","1075","1018","947","963","","1181","1232.9","1341","1371.2","1438.9","1351.1","","","","","","","","","","","","","","","","",
"Curacao","CUW","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czechia","CZE","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25459","24286","21010","18757","16713","17496","16882","15810","15862","15092","14866","15779","16304","15437","12791","13770","14316","14266","13965","14574","15261.102013","15618.690243","15842.778","16564.19","16179.68","15250.611","16326.011","","",
"Germany","DEU","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70500","70000","73900","74200","71900","77500","76165","76283","79841","86409","95421","107008","114615","115652","95834","107317","113317","110065","112613","112629","116632","128866","131204","129991","129161","108406","123067","","",
"Djibouti","DJI","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","118","91","85","97","","118","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1985","1757","1983","2058","1938","2025","1961","1906","1985","2147","1967","1885","1776","1863","1696","2240","2614","2278","2448","2453","2603","2575","2653","2592","","","","","",
"Dominican Republic","DOM","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1946","2139","2023","2174","2033","1980","1990","2247","2038","1945","1471","1429","1424.881","1562.16","1184","1281","1248","1253","","928","1011","885","1009","1026","908","","","","",
"East Asia & Pacific (excluding high income)","EAP","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1751","1533","1521","1324","2162.5","2084","","2947","1014","2682","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1285","1364","1537.5","1741","","1980","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2521.5","2541","2583","2857","3515","4078","","3894","3263.5","3970.5","","6804.25","4405","6856.5","","7166","7087","","","9724","9768","9767","10812.5","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2262","2321","2608","2673","2221","1917","2049","3890","2591","3164","4804.55","4232","5739.5","6529.4","4200","4874.75","4832.9","4372.5","3022","3987.75","3754.625","3255.5","3125.5","2598","2865","2747","3123.5","","",
"Europe & Central Asia","ECS","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8452.5","7591","7764.5","7925.5","7563","8095","7561","7514","8109","8749","9545.5","10167","10029","10021","7632.5","8413.5","8539","9230","8930","9596","8468","9455","10362","9637.54","10270","7623.5","7973.3","","",
"Ecuador","ECU","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2830","4117","3969","4004","3900","4012","4022","4188","","3840","3840","4188","","3840.367","","1592.136","","","","","","","","","","","","","",
"Euro area","EMU","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7287","8103","8622","8265","7849","8918","8557","9697","10047","10105","9706","10418","9647","9299","6964","8105","7960","8433","8930","9212.5","8453.5","9283","9424","9741.5","9375","7623.5","7973.3","","",
"Eritrea","ERI","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10419","10156","11486","11800","12035","12171","12322","12247","12411","12018","11641","11599","11212","10662","7714","8577","9593","9390","9366","10303","10812","10644","10507","10792","10459","8969.6","10299","","",
"Estonia","EST","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3846","4198","5102","6079","7295","8102","8557","9697","9670","10488","10639","10418","8430","5943","5934","6638","6271","5129","4722","3256","3114","2339","2325","2594","2155","1729","2128","","",
"Ethiopia","ETH","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8944","8454.5","9239","9075","8801","9512.5","9207","9732","10080","10296.5","10172.5","10739","10285.5","10268","7693.5","8693","9256.5","9275","9470","10158","10009.615","10527.534","10507","10792","10541.9545","8969.6","10299","","",
"Fragile and conflict affected situations","FCS","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9293","8806","9856","9885","9753","10107","9857","9664","10047","10105","9706","11060","10434","10777","8872","9750","9395","9275","9470","9596","8468","9455","10362","11175","10270","10138","10749","","",
"Fiji","FJI","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46560","48320","52630","52660","52120","55350","50344","49977","46758","45035","39659","41179","42612","40436","32129","29965","34202","32539","32230","32596","36328.056893","34699.8","35464.9","33835.6","33893.1","31281.8","35751.3","","",
"Faroe Islands","FRO","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","503","493","1636","1741","1609","1702","1834","2998","","1904","2219","2202","2502","2485","1581","2238","2417","2235","2613","2447","2727","2058","3276","3210.576346","406","409","","","",
"United Kingdom","GBR","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13300","15100","16900","17340","18050.424536214","18169.862865357","19199.607124964","18633.81459925","18745.175509571","20136.782576286","21426.789011214","21918.784355994","21265.297399239","21076.885656054","19171.477488606","18576.419860376","20973.823473378","21466.803050594","22401.431120115","22143.367020006","19342.444761281","17053.216554029","17166.930314851","17205.693315326","16884.335172455","15212.12270599","","","",
"Georgia","GEO","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1246","1141","2006","2694","3160","3912","4481","5065","5538.5","4862","6127.1","7378.7","6928","6529.4","5433","6227.5","6054.8","5976","5539.6","4987.5","4261.25","3424","2963","2598","2935","2925","3322","","",
"Ghana","GHA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157","151","155","141","151","165","","","242","","","181","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
